Fs=250
t,x
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7
0.384,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165532.8844,-154059.4881
0.388,4176.132879,-10293.3136,-178059.0478,-178002.0509,6332.472722,90607.40061,18484.088,35953.67503
0.392,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165537.3994,-154061.0303
0.396,5298.548078,-11590.09476,-176603.614,-176515.2128,5212.806787,89445.24401,18059.3378,36252.22728
0.4,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165503.3577,-154043.0819
0.404,3615.484073,-10150.75417,-178118.1458,-178105.8524,6670.676967,90858.96949,18440.23388,35808.6122
0.408,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165561.0476,-154082.6668
0.412,5417.280545,-11582.76338,-176674.4243,-176549.5675,5137.682574,89409.99531,18075.25224,36260.47507
0.416,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165497.4792,-154039.0586
0.42,3525.451246,-10184.39355,-178028.0683,-178030.5494,6693.296932,90872.22408,18407.26506,35791.08844
0.424,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165567.3731,-154088.3889
0.428,5468.622502,-11499.97252,-176786.6971,-176654.576,5140.677707,89439.56666,18119.93338,36270.93569
0.432,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165498.105,-154039.8856
0.436,3504.552365,-10237.85892,-177915.3038,-177917.8519,6708.049084,90861.80816,18384.0863,35810.53445
0.44,5454.093868,-11346.97483,-176966.7181,-176828.0031,5235.963194,89566.14459,18211.28496,36305.82676
0.444,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165498.0827,-154041.2937
0.448,3553.323871,-10380.37364,-177754.8629,-177778.5111,6610.997809,90769.94249,18331.22442,35862.45756
0.452,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165574.6374,-154097.3966
